rank,age,height_cm,weight_kg,bmi,19.1_rank,19.2_rank,19.3_rank,19.4_rank,19.5_rank
10170,37,178.0,83.0,26.2,10347,12589,33700,8827,12318
10171,30,178.0,84.0,26.5,15232,9046,13673,9997,29847
10172,28,175.0,74.0,24.2,26601,14586,8734,19984,7901
10173,39,178.0,82.0,25.9,12109,22097,8549,16625,18428
10174,31,180.0,79.0,24.4,28158,9809,20194,13237,6416
10175,24,188.0,98.0,27.7,6260,19197,39306,4190,8871
10175,24,177.0,95.0,30.3,20685,24551,13747,6402,12439
10177,38,178.0,86.0,27.1,34698,6305,10649,16690,9498
10178,29,183.0,90.0,26.9,27384,23059,3759,7009,16645
10179,26,179.0,94.0,29.3,10735,11796,15006,27197,13126
10180,32,182.0,91.0,27.5,37269,11022,9924,7554,12094
10182,30,178.0,82.0,25.9,17433,19837,14492,9703,16412
10182,26,183.0,84.0,25.1,19508,15122,13445,15014,14788
10184,27,183.0,98.0,29.3,13218,12046,13183,24718,14714
10185,34,175.0,73.0,23.8,47717,10681,1685,4968,12836
10186,33,178.0,82.0,25.9,9188,13177,20620,28098,6816
10187,25,179.0,75.0,23.4,26601,13624,1737,21225,14714
10187,32,180.0,83.0,25.6,8828,10262,16386,28200,14225
10189,27,176.0,80.0,25.8,25821,7027,15442,17810,11809
10190,24,165.0,69.0,25.3,47717,12564,5829,1754,10047
10191,24,178.0,84.0,26.5,33428,2695,28025,10653,3119
10192,24,178.0,84.0,26.5,15232,13047,9912,21225,18506
10192,31,188.0,88.0,24.9,24248,12238,14382,15146,11908
10194,28,178.0,85.0,26.8,6260,14529,28169,7754,21228
10195,28,177.0,79.0,25.2,15232,26750,13511,12191,10262
10196,26,178.0,84.0,26.5,40098,14283,6184,8701,8686
10198,30,185.0,94.0,27.5,1939,4090,33564,26906,11462
10199,24,171.0,73.0,25.0,26601,11782,9946,6402,23231
10200,52,180.0,80.0,24.7,6260,15072,31566,12845,12220
10201,33,172.0,77.0,26.0,30006,7812,28227,5374,6547
10202,39,178.0,93.0,29.4,6260,11171,14977,39900,5660
10203,35,178.0,77.0,24.3,25821,8445,9946,23558,10199
10204,26,183.0,88.0,26.3,5102,5393,41591,9769,16130
10205,34,178.0,84.0,26.5,25056,7971,25417,10257,9288
10206,35,169.0,85.0,29.8,26601,13700,7494,12655,17546
10206,43,170.0,86.0,29.8,25821,12649,8087,19849,11590
10208,31,178.0,84.0,26.5,15232,10742,19585,19723,12718
10209,21,185.0,84.0,24.5,12109,21753,19521,15038,9597
10210,26,178.0,103.0,32.5,9188,8708,9709,37524,12899
10211,39,183.0,86.0,25.7,18902,9445,23528,17797,8376
10212,28,178.0,85.0,26.8,39132,7462,7310,12623,11533
10213,24,173.0,82.0,27.4,30006,20270,11213,9547,7037
10214,39,185.0,88.0,25.7,11188,9831,13258,24355,19453
10215,47,170.0,75.0,26.0,30006,25791,11949,3385,6955
10215,32,178.0,84.0,26.5,20070,4082,46387,3933,3614
10217,31,175.0,91.0,29.7,12686,11942,16386,18412,18664
10218,33,176.0,82.0,26.5,10735,19031,12495,16125,19706
10219,29,178.0,74.0,23.4,30006,19914,5070,5879,17225
10220,25,168.0,77.0,27.3,47717,9492,8779,5756,6351
10221,43,183.0,90.0,26.9,13831,16112,10883,24555,12718
10223,31,172.0,81.0,27.4,6260,19585,29849,7497,14910
10224,19,178.0,84.0,26.5,30006,14778,9752,13142,10428
10226,24,178.0,84.0,26.5,19508,9521,16217,12999,19863
10227,31,178.0,84.0,26.5,14443,25421,18516,10928,8809
10228,22,163.0,76.0,28.6,51743,696,19294,6127,258
10229,34,168.0,86.0,30.5,30006,8528,25566,4778,9244
10230,29,180.0,74.0,22.8,28158,16487,11129,10031,12318
10231,37,183.0,77.0,23.0,2898,27780,16180,15064,16209
10232,28,178.0,83.0,26.2,43323,7574,8534,10766,7941
10233,25,185.0,92.0,26.9,5363,10864,26664,18412,16839
10234,21,180.0,80.0,24.7,7913,9991,41767,10584,7901
10235,37,180.0,88.0,27.2,29001,6756,11811,10726,19863
10237,25,173.0,79.0,26.4,36340,12765,4328,15953,8774
10237,32,168.0,74.0,26.2,23544,10980,10044,16593,16999
10239,35,178.0,85.0,26.8,29001,21672,3486,10941,13070
10240,26,183.0,95.0,28.4,21334,7574,26459,14220,8585
10240,35,183.0,90.0,26.9,10347,11720,25265,17169,13671
10242,32,180.0,86.0,26.5,6260,6852,56970,5374,2719
10243,31,178.0,84.0,26.5,17433,14134,16603,15435,14573
10244,31,175.0,91.0,29.7,17433,14885,20603,16427,8834
10245,35,183.0,102.0,30.5,5609,25009,13664,25146,8774
10246,32,188.0,90.0,25.5,8179,7971,13358,34288,14426
10247,25,180.0,84.0,25.9,12686,11736,11776,31764,10262
10249,43,180.0,79.0,24.4,12109,18900,18516,19076,9651
10250,29,185.0,95.0,27.8,19508,8561,33578,7923,8686
10252,38,169.0,70.0,24.5,56339,9118,7098,3850,1860
10253,33,178.0,88.0,27.8,12686,7452,17076,24642,16412
10254,31,170.0,74.0,25.6,37269,25405,3402,5061,7133
10255,44,175.0,88.0,28.7,29001,20846,15903,6584,5940
10256,31,175.0,70.0,22.9,42298,16386,9940,4513,5141
10257,34,177.0,80.0,25.5,30006,8445,12482,9252,18098
10258,47,185.0,92.0,26.9,6260,4769,23378,39934,3948
10259,27,183.0,91.0,27.2,11188,8641,15597,29027,13856
10260,41,183.0,84.0,25.1,25056,12685,20929,10107,9537
10261,31,180.0,83.0,25.6,6260,6171,21019,27802,17075
10262,22,173.0,73.0,24.4,45485,9614,10886,4968,7375
10263,29,175.0,93.0,30.4,15232,4572,20726,15493,22309
10264,30,173.0,80.0,26.7,26601,18274,8754,8377,16341
10265,32,169.0,75.0,26.3,35431,14547,3116,9811,15447
10266,35,176.0,72.0,23.2,30006,19136,17344,5879,5988
10267,26,185.0,90.0,26.3,2056,11720,23370,19984,21228
10268,36,185.0,91.0,26.6,6260,15438,22644,19744,14287
10269,38,178.0,88.0,27.8,9532,5619,34102,19524,9597
10270,28,188.0,94.0,26.6,882,9756,31589,10928,25220
10270,26,183.0,93.0,27.8,15232,18219,7877,24608,12439
10272,25,178.0,84.0,26.5,18902,21182,4561,12708,21039
10273,29,169.0,79.0,27.7,40098,8665,15354,4689,9597
10274,27,175.0,85.0,27.8,15232,17686,13638,13665,18188
10275,31,182.0,94.0,28.4,4263,6907,33576,30275,3398
10277,28,175.0,84.0,27.4,29001,10681,9797,14462,14488
10278,36,178.0,100.0,31.6,8828,11822,22317,23146,12318
10279,39,175.0,93.0,30.4,5363,4020,35571,20301,13188
10279,37,177.0,75.0,23.9,41254,7407,8621,6673,14488
10281,38,177.0,77.0,24.6,30006,9278,7742,16932,14488
10281,38,178.0,82.0,25.9,12109,15072,29897,10831,10537
10283,33,181.0,95.0,29.0,11188,6807,21095,10537,28827
10284,44,178.0,88.0,27.8,9532,10187,31941,12700,14100
10285,43,170.0,80.0,27.7,29001,13860,15849,12797,6955
10286,30,188.0,100.0,28.3,6260,4468,20754,31066,15917
10287,32,170.0,72.0,24.9,35431,15173,6090,12999,8774
10288,26,188.0,91.0,25.7,5102,6186,41594,12940,12648
10289,31,178.0,84.0,26.5,27384,10102,12436,15306,13251
10290,19,180.0,81.0,25.0,13218,22482,19382,10402,13003
10291,36,175.0,93.0,30.4,24248,4141,20996,11805,17303
10292,33,188.0,92.0,26.0,9188,17323,18286,15435,18268
10293,33,178.0,83.0,26.2,25821,15679,13120,15655,8229
10294,37,181.0,80.0,24.4,26601,10931,10902,9657,20429
10295,39,178.0,93.0,29.4,14443,8512,22579,22884,10104
10296,31,188.0,98.0,27.7,12109,10575,20951,14396,20494
10297,27,180.0,86.0,26.5,5102,5323,8372,48451,11297
10298,19,170.0,68.0,23.5,45485,4107,13586,6127,9244
10299,32,183.0,88.0,26.3,10735,21603,6691,27137,12386
10300,28,172.0,76.0,25.7,17433,12401,9731,21225,17768
10301,28,185.0,93.0,27.2,8517,6487,31696,22446,9413
10302,28,175.0,73.0,23.8,22015,12846,18813,7343,17546
10303,26,180.0,88.0,27.2,19508,17242,4026,14023,23766
10304,25,183.0,82.0,24.5,28158,8263,22215,11892,8038
10305,19,178.0,84.0,26.5,30006,12901,17925,6402,11347
10306,36,180.0,84.0,25.9,23544,15679,18457,13420,7483
10307,26,178.0,84.0,26.5,4465,23077,16370,19764,14910
10308,35,178.0,84.0,26.5,11645,31765,10351,13237,11590
10309,25,178.0,84.0,26.5,12109,16546,6415,27181,16341
10310,21,182.0,76.0,22.9,14443,19694,11783,16267,16412
10311,36,178.0,98.0,30.9,42298,1651,5746,18185,10724
10312,38,180.0,73.0,22.5,34698,14348,14702,7202,7655
10313,25,185.0,84.0,24.5,18902,15438,14252,12171,17856
10314,34,178.0,84.0,26.5,3165,15241,12331,22004,25879
10315,38,178.0,98.0,30.9,3860,1857,27211,42898,2797
10315,22,170.0,70.0,24.2,26601,25744,6411,10369,9498
10317,30,185.0,82.0,24.0,1125,13392,35305,19945,8871
10318,37,178.0,84.0,26.5,20070,10602,21360,4689,21931
10319,23,175.0,85.0,27.8,3165,20334,25784,14169,15203
10320,28,178.0,84.0,26.5,10347,21182,16012,11824,19291
10321,34,178.0,78.0,24.6,57967,10623,1040,7028,2004
10322,26,178.0,84.0,26.5,61906,5194,1777,4345,5455
10322,34,178.0,73.0,23.0,30006,11454,9377,15620,12220
10324,28,178.0,84.0,26.5,9188,6938,31659,16405,14488
10325,27,178.0,82.0,25.9,15232,9255,27995,12530,13671
10326,23,180.0,84.0,25.9,12686,10039,24248,15306,16412
10327,31,180.0,84.0,25.9,17871,6414,35275,12033,7100
10328,34,173.0,86.0,28.7,24248,11595,14908,20339,7606
10329,41,173.0,79.0,26.4,33428,14113,11208,12055,7901
10330,31,178.0,84.0,26.5,25056,15413,2581,24315,11347
10331,23,178.0,84.0,26.5,30006,21360,7697,7486,12165
10332,38,178.0,84.0,26.5,22015,14298,18404,12955,11059
10333,24,178.0,84.0,26.5,48983,9063,6671,6928,7100
10334,31,173.0,84.0,28.1,19508,21753,6635,19792,11059
10335,27,170.0,78.0,27.0,38189,9037,12233,9146,10155
10336,30,183.0,96.0,28.7,5891,8561,35419,20056,8834
10337,19,175.0,79.0,25.8,27384,9954,31050,5259,5141
10338,33,175.0,88.0,28.7,25056,9328,13111,21192,10104
